Cluster,Class,Count,Percentage of class (%)
653,1,18,0.1
654,1,29,0.16
655,1,19,0.1
656,1,20,0.11
657,1,25,0.13
658,1,17,0.09
658,3,1,0.03
658,5,1,0.14
659,1,23,0.12
660,1,25,0.13
661,1,20,0.11
661,4,1,0.1
662,1,43,0.23
662,4,1,0.1
662,6,1,0.16
663,1,32,0.17
664,1,27,0.15
665,1,51,0.28
666,1,30,0.16
667,1,16,0.09
668,1,1,0.01
668,2,9,0.17
668,4,9,0.93
669,1,20,0.11
670,2,28,0.53
670,3,10,0.26
670,6,1,0.16
670,7,2,0.36
671,1,4,0.02
671,3,26,0.68
671,4,1,0.1
671,5,2,0.29
671,6,4,0.65
671,7,19,3.46
672,1,11,0.06
672,4,4,0.41
672,5,7,1.0
673,3,1,0.03
673,6,1,0.16
673,7,15,2.73
674,1,2,0.01
674,3,1,0.03
674,4,1,0.1
674,5,107,15.29
675,1,18,0.1
676,1,3,0.02
676,3,4,0.11
676,4,2,0.21
676,5,2,0.29
676,7,6,1.09
677,1,14,0.08
678,1,26,0.14
679,1,11,0.06
680,1,1,0.01
680,2,1,0.02
680,3,1,0.03
680,4,1,0.1
680,7,27,4.92
681,4,6,0.62
681,6,3,0.49
681,9,1,0.49
682,1,42,0.23
683,1,20,0.11
683,5,3,0.43
684,1,14,0.08
685,1,43,0.23
685,2,1,0.02
685,4,2,0.21
685,7,1,0.18
686,3,42,1.1
687,1,22,0.12
688,1,32,0.17
688,2,1,0.02
688,4,1,0.1
689,1,1,0.01
689,3,12,0.32
689,4,1,0.1
689,6,6,0.98
689,7,42,7.65
690,2,3,0.06
690,3,12,0.32
691,1,12,0.06
692,1,23,0.12
693,2,1,0.02
693,3,25,0.66
693,7,2,0.36
694,3,28,0.74
694,5,1,0.14
694,7,5,0.91
695,1,45,0.24
696,1,1,0.01
696,4,1,0.1
696,5,80,11.43
697,4,1,0.1
697,5,22,3.14
698,1,34,0.18
699,1,13,0.07
700,1,14,0.08
700,3,1,0.03
700,4,1,0.1
701,3,1,0.03
701,4,26,2.67
701,5,2,0.29
702,1,7,0.04
702,2,2,0.04
702,3,123,3.24
702,4,4,0.41
702,5,2,0.29
702,7,15,2.73
703,1,5,0.03
703,3,2,0.05
703,5,6,0.86
703,7,1,0.18
704,1,30,0.16
704,2,2,0.04
705,1,40,0.22
706,1,23,0.12
707,1,29,0.16
708,1,3,0.02
708,2,20,0.38
709,1,40,0.22
709,2,1,0.02
709,4,3,0.31
709,5,1,0.14
710,2,32,0.61
711,2,34,0.65
712,1,1,0.01
712,4,3,0.31
712,6,23,3.75
712,9,1,0.49
713,2,18,0.34
714,2,16,0.31
715,1,33,0.18
716,2,78,1.49
716,6,1,0.16
717,1,35,0.19
717,2,22,0.42
717,4,1,0.1
717,6,11,1.79
718,2,21,0.4
719,1,25,0.13
720,2,17,0.32
720,3,3,0.08
720,6,2,0.33
721,2,53,1.01
721,4,1,0.1
721,6,1,0.16
722,1,56,0.3
723,1,45,0.24
724,1,20,0.11
724,7,1,0.18
725,1,66,0.36
725,6,1,0.16
726,1,15,0.08
726,2,1,0.02
727,1,71,0.38
728,1,28,0.15
729,1,25,0.13
730,1,30,0.16
731,1,36,0.19
732,1,18,0.1
733,1,38,0.2
734,1,22,0.12
735,1,11,0.06
736,1,33,0.18
737,1,13,0.07
738,1,59,0.32
739,1,19,0.1
740,1,16,0.09
740,5,1,0.14
741,1,57,0.31
742,1,32,0.17
743,1,17,0.09
744,1,35,0.19
744,2,1,0.02
745,1,10,0.05
746,1,42,0.23
747,1,45,0.24
747,5,1,0.14
748,1,16,0.09
748,2,1,0.02
749,1,105,0.57
749,6,1,0.16
750,1,18,0.1
751,1,38,0.2
752,1,48,0.26
753,1,14,0.08
754,1,11,0.06
